title,author,rating,isbn,date read,bookshelves,description,embedding,embedding_2d,embedding_3d,embedding_2d_tsne,embedding_3d_tsne,embedding_2d_umap,embedding_3d_umap
Our Spoons Came from Woolworths,Barbara Comyns,4,9781590178966,2026/06/28,european-lit,"Sophia is twenty-one and naïve when she marries fellow artist Charles. She seems hardly fonder of her husband than she is of her pet newt; she can’t keep house (everything she cooks tastes of soap); and she mistakes morning sickness for the aftereffects of a bad batch of strawberries. England is in the middle of the Great Depression, and the money Sophia makes from the occasional modeling gig doesn’t make up for her husband’s indifference to paying the rent. Predictably, the marriage falters; not so predictably, Sophia’s artlessness will be the very thing that turns her life around.","[-0.004363355226814747, -0.1406819075345993, 0.025278696790337563, -0.036615174263715744, -0.02163107320666313, 0.08746878057718277, 0.0637281984090805, -0.031008675694465637, 0.0439801849424839, -0.0348820686340332, 0.007143605500459671, -0.02208404615521431, -0.027675362303853035, -0.030493125319480896, -0.0761585459113121, -0.04699428007006645, 0.025284793227910995, -0.024570029228925705, 0.002950474387034774, 0.019780391827225685, -0.05022412911057472, -0.03814580664038658, 0.06822109967470169, 0.013722704723477364, 0.03822669759392738, 0.017218634486198425, 0.010864567011594772, -0.01799115538597107, -0.056994229555130005, 0.04837489873170853, 0.0035582762211561203, 0.018477261066436768, -0.0029502182733267546, -0.048074278980493546, 0.018328901380300522, 0.022947601974010468, 0.03196459263563156, -0.013778068125247955, 0.04912325739860535, 0.023737158626317978, -0.06583180278539658, -0.13868974149227142, 0.021271903067827225, 0.0036796981003135443, -0.010831696912646294, 0.06104585528373718, 0.010333924554288387, -0.009576995857059956, 0.023621436208486557, 0.0014730916591361165, -0.11635114997625351, 0.03259778022766113, 0.007942471653223038, -0.0950361117720604, 0.020568568259477615, 0.06047757714986801, 0.08877778798341751, 0.0729500949382782, -0.019903425127267838, 0.021621307358145714, -0.05503487586975098, -0.02843356318771839, 0.041692525148391724, 0.02448524348437786, -0.006976874079555273, 0.015091026201844215, -0.04078439250588417, 0.04508206993341446, -0.040740348398685455, -0.01205364242196083, -0.06457159668207169, 0.015329531393945217, 0.007015677634626627, 0.08030577749013901, -0.0382339172065258, 0.06716356426477432, 0.04792661964893341, -0.05421260744333267, -0.03518882766366005, -0.0022162534296512604, -0.11277491599321365, 0.022620119154453278, 0.10575251281261444, 0.019413264468312263, -0.10856882482767105, -0.04292413592338562, 0.021676747128367424, -0.02996143139898777, 0.03058581054210663, -0.028931332752108574, -0.06323053687810898, -0.08472112566232681, -0.05917630344629288, 0.0771581381559372, 0.012618384324014187, 0.01055149920284748, -0.011989831924438477, -0.00509090768173337, -0.07865864783525467, 0.048152875155210495, -0.09128683805465698, 0.10215223580598831, 0.03592422977089882, -0.041819337755441666, -0.011444021947681904, 0.01211397536098957, -0.021050546318292618, -0.010159888304769993, -0.018097028136253357, -0.039840225130319595, 0.05760360509157181, -0.0019954408053308725, -0.06731332838535309, -0.04471881687641144, -0.01160201895982027, -0.13347098231315613, 0.02598375454545021, -0.058827485889196396, 0.015827743336558342, -0.004619583487510681, 0.0508115254342556, 0.008259125053882599, -0.09735540300607681, 0.018998123705387115, -0.08808112889528275, 0.0023156229872256517, -0.03563442826271057, 4.556158431095599e-33, -0.022386113181710243, 0.008485179394483566, 0.04553531855344772, 0.06034928187727928, 0.07692750543355942, 0.08611167967319489, 0.015165717341005802, 0.03593878075480461, 0.016603708267211914, 0.012279164977371693, -0.0007681638235226274, -0.04677489772439003, -0.10549458116292953, -0.08942494541406631, 0.006610487587749958, 0.02935125306248665, 0.008460846729576588, 0.0015447709010913968, 0.02666422910988331, 0.017069438472390175, -0.04216396063566208, 0.07407529652118683, -0.004186998587101698, -0.022707821801304817, -0.09440235048532486, -0.03033251315355301, -0.0273422971367836, 0.03808668628334999, 0.011816593818366528, 0.03112216666340828, 0.012160475365817547, 0.0567743256688118, -0.019455067813396454, -0.06130674108862877, -0.09197386354207993, -0.07173395901918411, -0.061083659529685974, -0.07318820059299469, -0.007029291708022356, 0.0265062153339386, -0.07526521384716034, 0.019725317135453224, 0.1421676129102707, 0.094537653028965, -0.07882265746593475, 0.048603568226099014, 0.013420654460787773, 0.0996192991733551, 0.022762253880500793, -0.06676577776670456, 0.0016475117299705744, 0.015432730317115784, -0.008352154865860939, 0.057882823050022125, -0.045715466141700745, -0.01431040745228529, -0.03661743924021721, -0.05710621178150177, -0.01698528788983822, 0.02442658692598343, 0.08546119183301926, 0.01651143468916416, 0.06615104526281357, -0.056025393307209015, 0.02507437765598297, 0.06994365155696869, 0.06459362059831619, -0.029614312574267387, 0.0018775707576423883, 0.06595627963542938, -0.03841152414679527, 0.04589534550905228, 0.030841950327157974, 0.012047959491610527, 0.0031927942764014006, -0.018543995916843414, 0.09054539352655411, -0.04733828455209732, 0.07703160494565964, -0.09514997154474258, 0.024949580430984497, 0.03300180286169052, -0.024399299174547195, -0.023524269461631775, -0.04107832908630371, 0.023924456909298897, -0.020229585468769073, 0.0006776213413104415, -0.01238218229264021, 0.05275430902838707, -0.0251451563090086, -0.015673575922846794, -0.006575287319719791, -0.05566670373082161, -0.08626032620668411, -5.42195887696017e-33, 0.0074626123532652855, 0.006946989800781012, -0.09704431146383286, 0.0690336748957634, 0.04341637343168259, 0.011241905391216278, 0.016025995835661888, 0.042421139776706696, 0.029214337468147278, 0.03942449763417244, 0.03324263170361519, -0.10856764763593674, -0.009096501395106316, -0.019710911437869072, -0.08140979707241058, -0.017096875235438347, 0.0664440393447876, -0.04841432347893715, 0.009433349594473839, -0.09932003170251846, -0.005748008843511343, 0.08408383280038834, -0.019875794649124146, -0.04029060900211334, -0.026457006111741066, 0.022942068055272102, -0.024641146883368492, 0.017499173060059547, -0.10850360244512558, 0.03487638756632805, 0.006121319252997637, -0.0680633932352066, -0.049624115228652954, -0.04836123809218407, 0.01160967443138361, 0.015597580000758171, -0.07890354841947556, -0.12859097123146057, 0.020717330276966095, 0.026567112654447556, 0.00526558980345726, -0.0835508480668068, 0.02060314640402794, 0.11539730429649353, -0.03021419048309326, -0.0521467924118042, -0.09337732195854187, 0.03827532380819321, 0.0736311674118042, 0.040905121713876724, 0.013603487983345985, 0.031752318143844604, -0.02210928499698639, -0.004159070551395416, -0.06401573121547699, 0.032754480838775635, 0.02608361840248108, -0.05296511948108673, 0.01028404664248228, 0.09513255953788757, -0.008651883341372013, -0.014485657215118408, -0.043405383825302124, 0.09362795948982239, 0.01845715194940567, 0.03744345158338547, -0.014789591543376446, 0.008887398056685925, -0.0018159969476982951, 0.02343740686774254, 0.009598781354725361, -0.03363903611898422, 0.0731511190533638, 0.012114787474274635, 0.001771524897776544, 0.017078734934329987, 0.030567696318030357, -0.048011649399995804, 0.048370808362960815, -0.03694910183548927, 0.018615368753671646, -0.06481146812438965, 0.031688839197158813, 0.07512059807777405, 0.04533834755420685, -0.0699298307299614, 0.02563946507871151, 0.04037676751613617, -0.02772415615618229, 0.06022823601961136, -0.03224431723356247, -0.038682468235492706, 0.004660230595618486, -0.03630507364869118, 0.06084790453314781, -5.2170864961453844e-08, 0.055136457085609436, 0.02069994807243347, -0.0017650941153988242, -0.03256057947874069, 0.0074206748977303505, -0.013166280463337898, -0.03193731978535652, 0.040879592299461365, -0.02993791550397873, 0.05554899945855141, -0.0744975358247757, 0.030695900321006775, -0.012975642457604408, 0.057363491505384445, 0.018565967679023743, 0.027809467166662216, 0.08929593116044998, 0.0465923510491848, -0.05480154976248741, 0.02978084795176983, 0.0812288373708725, -0.02988242171704769, 0.02904864028096199, -0.04112035408616066, -0.029988767579197884, 0.038659993559122086, 0.012826541438698769, 0.08342595398426056, -0.0374264195561409, 0.05207356438040733, 0.057189419865608215, 0.008912795223295689, 0.024602556601166725, 0.06998968869447708, -0.018818318843841553, 0.05123335123062134, -0.17040759325027466, -0.002331344410777092, -0.0882028117775917, -0.012647588737308979, -0.08680672943592072, -0.08442474901676178, -0.024172427132725716, 0.04495881125330925, 0.0205224696546793, -0.008258810266852379, -0.01768036186695099, 0.10154913365840912, -0.05090487003326416, 0.11580828577280045, 0.01272750273346901, 0.07287777215242386, 0.09130790829658508, 0.06448066234588623, -0.04071936011314392, -0.019777342677116394, 0.05180714651942253, 0.039338432252407074, 0.006647192407399416, 0.07717718183994293, -0.040232785046100616, 0.008912350051105022, -0.010714177042245865, -0.02761141024529934]",,,"[-6.747045993804932, 12.241828918457031]","[15.438129425048828, -22.704469680786133, 57.65908432006836]","[4.831095218658447, 10.242813110351562]","[5.153030872344971, 2.0732510089874268, 3.4978818893432617]"
Go Tell It on the Mountain,James Baldwin,4,9780375701870,2026/06/15,black-authors,"Baldwin's classic novel opened new possibilities in the American language and in the way Americans understand themselves. With lyrical precision, psychological directness, resonating symbolic power, and a rage that is at once unrelenting and compassionate, Baldwin tells the story of the stepson of the minister of a storefront Pentecostal church in Harlem one Saturday in March of 1935. Originally published in 1953, Baldwin said of his first novel, "" Mountain is the book I had to write if I was ever going to write anything else.""","[-0.051114022731781006, 0.013989448547363281, -0.024022988975048065, 0.08250486850738525, -0.08926190435886383, -0.004472529981285334, 0.0012285030679777265, -0.04400595650076866, 0.05927250534296036, 0.015766046941280365, -0.05756520852446556, 0.046840645372867584, -0.028156792744994164, 0.00020609352213796228, 0.027433065697550774, 0.08486348390579224, -0.043683189898729324, 0.04069733992218971, 0.000992277404293418, -0.009308736771345139, 0.042189694941043854, 0.07790467888116837, 0.0033231801353394985, 0.12911958992481232, 0.031213590875267982, -0.03705286607146263, -0.03822595253586769, -0.06254873424768448, -0.04594338312745094, -0.03173022344708443, -0.039928264915943146, -0.05641043186187744, -0.008957834914326668, 0.013411592692136765, -0.011054678820073605, 0.03286527842283249, 0.030337819829583168, 0.05553465336561203, -0.014253972098231316, 0.0019172988831996918, 0.002557810628786683, 0.02968292497098446, 0.026275187730789185, 0.044595975428819656, 0.038313575088977814, 0.055312275886535645, -0.02208121120929718, 0.08857974410057068, -0.045288875699043274, 0.021985452622175217, -0.029760466888546944, -0.016078338027000427, 0.017051303759217262, -0.10954965651035309, 0.012995071709156036, 0.07290671765804291, 0.008645076304674149, 0.061652641743421555, -0.032909736037254333, 0.04130714014172554, 0.00034628694993443787, -0.09365566074848175, -0.04962063208222389, -0.006528381258249283, 0.0470033660531044, 0.06585154682397842, -0.029053010046482086, -0.010399499908089638, -0.03565031290054321, 0.0031892876140773296, -0.0029186131432652473, -0.029212184250354767, 0.012812405824661255, -0.05469163507223129, -0.04284423217177391, -0.03779049962759018, 0.001167408423498273, 0.016371306031942368, -0.0704200342297554, 0.0318770632147789, -0.02500154636800289, -0.008028102107346058, 0.053084854036569595, 0.0644693672657013, -0.07126491516828537, -0.05941959470510483, -0.018507784232497215, 0.038876764476299286, 0.023364529013633728, -0.045963939279317856, 0.03857416287064552, -0.08545069396495819, -0.06730756163597107, -0.029447481036186218, -0.06971392780542374, 0.009980370290577412, -0.08648578077554703, -0.08678539097309113, 0.005571397487074137, -0.02120177634060383, -0.0312035009264946, -0.05014565959572792, 0.045733701437711716, 0.0048584952019155025, 0.04674617201089859, -0.06420308351516724, 0.047507572919130325, 0.03950997814536095, -0.01392659917473793, 0.025975851342082024, 0.052239034324884415, 0.017955079674720764, 0.05928425118327141, 0.0318378284573555, 0.004158369731158018, -0.028659632429480553, 0.03992551565170288, 0.007659145165234804, 0.03959786891937256, 0.04517883434891701, -0.0611647330224514, 0.043087299913167953, 0.006479209754616022, 0.07600682973861694, -0.15009556710720062, -0.1145160049200058, 0.06895361840724945, -1.2766784249826738e-33, 0.08552775532007217, -0.0050974092446267605, -7.226529123727232e-05, 0.054741889238357544, 0.07522263377904892, 0.06653756648302078, 0.05704887956380844, -0.05142693221569061, -0.0018467504996806383, -0.06686852872371674, 0.028021587058901787, -0.01783200539648533, 0.028250543400645256, 0.10760749131441116, -0.05339430645108223, 0.06034310162067413, 0.0121302530169487, -0.05830423906445503, 0.035111770033836365, -0.12496192753314972, 0.0660959854722023, -0.01913042925298214, -0.06342586129903793, 0.03728474676609039, 0.022495346143841743, -0.025645330548286438, -0.007142025977373123, -0.010142321698367596, -0.07114527374505997, -0.012082014232873917, 0.012002096511423588, 0.012359587475657463, -0.006344751454889774, -0.10948096215724945, 0.04319741576910019, -0.018738016486167908, -0.05113362893462181, 0.03688926249742508, 0.05633090063929558, -0.01437352318316698, -0.009111711755394936, -0.01646518148481846, -0.02051633596420288, -0.01782064512372017, -0.013296820223331451, 0.08720992505550385, 0.06129816174507141, -0.014482150785624981, -0.06065869703888893, 0.05232548341155052, -0.012285610660910606, 0.04039367660880089, -0.03252778574824333, 0.03748249635100365, -0.023919276893138885, 0.005393178667873144, 0.01936645805835724, -0.015221274457871914, 0.12409164011478424, -0.0006273756152950227, -0.0012057720450684428, 0.09488465636968613, 0.029031287878751755, 0.013640842400491238, -0.03225349262356758, -0.07090386748313904, -0.07679715007543564, 0.009044948033988476, -0.00034315435914322734, 0.01696792244911194, 0.020255712792277336, 0.007927307859063148, -0.00780076440423727, -0.044097136706113815, -0.08516772836446762, -0.050543539226055145, -0.06507512181997299, -0.058371976017951965, 0.0272383876144886, -0.059626661241054535, 0.04104014113545418, -0.05648524686694145, 0.0016249364707618952, 0.006238016299903393, -0.07130541652441025, 0.0402020625770092, 0.07892327755689621, -0.07477676123380661, -0.05991995334625244, 0.09935088455677032, -0.03431019186973572, 0.07745196670293808, 0.026815984398126602, -0.03095041960477829, 0.09687279909849167, -1.7568778773626594e-33, 0.09830083698034286, -0.046901654452085495, 0.04581974819302559, 0.032246463000774384, -0.06275996565818787, -0.008982931263744831, -0.06719854474067688, 0.01324908435344696, 0.06352106481790543, 0.025882013142108917, -0.0422491580247879, 0.038788821548223495, 0.10803753137588501, 0.07033589482307434, 0.05328018590807915, -0.029482832178473473, -0.07258778065443039, -0.011223377659916878, 0.04493097588419914, 0.027867456898093224, -0.07357356697320938, 0.03452974185347557, -0.08414243906736374, -0.05549699813127518, 0.0891864150762558, -0.06854890286922455, -0.04731254652142525, 0.05099934712052345, -0.04807545989751816, -0.0344388373196125, -0.0674348995089531, 0.06651371717453003, -0.0017816121689975262, -0.025018468499183655, -0.0084269093349576, -0.025073153898119926, -0.0029138687532395124, 0.016214532777667046, 0.072730153799057, -0.009306487627327442, 0.05341765284538269, -0.07385459542274475, 0.0012641573557630181, -0.07860912382602692, -0.0017969440668821335, 0.017349252477288246, 0.007039590273052454, 0.008735919371247292, -0.02534612827003002, -0.04566839337348938, -0.003957207780331373, 0.023011481389403343, -0.031921643763780594, 0.06534381955862045, 0.029378008097410202, -0.011634303256869316, -0.07603772729635239, -0.05669481307268143, -0.07132941484451294, -0.029986368492245674, -0.023351173847913742, -0.05242905765771866, -0.0005600425647571683, -0.024730149656534195, 0.007356772664934397, -0.07169239968061447, 0.034327466040849686, -0.011419323273003101, 0.04344327747821808, 0.07995336502790451, -0.14336000382900238, -0.10596034675836563, 0.08130849152803421, 0.020390503108501434, -0.07119809091091156, -0.009961922653019428, 0.013178995810449123, -0.04651603102684021, -0.03308628126978874, -0.049352843314409256, 0.05637214332818985, -0.026658104732632637, 0.01994774490594864, 0.026820527389645576, 0.11006488651037216, 0.002229901496320963, 0.06519825011491776, 0.057578109204769135, -0.049381740391254425, 0.11120229959487915, -0.0513031929731369, -0.02720181830227375, 0.04108843952417374, 0.019111648201942444, 0.03978166729211807, -4.316605028975573e-08, 0.02305138111114502, 0.01158566027879715, -0.029396697878837585, 0.014304027892649174, 0.02799954265356064, -0.00781978014856577, 0.09583191573619843, -0.006261120084673166, -0.07265876233577728, 0.019101012498140335, -0.04372354969382286, -0.05263300985097885, -0.030339999124407768, 0.07532588392496109, -0.008406424894928932, -0.005992312449961901, 0.046423789113759995, -0.15761858224868774, 0.013711795210838318, 0.06808755546808243, 0.013284584507346153, -0.024359872564673424, 0.03219875320792198, -0.06380235403776169, -0.03896385431289673, 0.06312767416238785, 0.03839564323425293, -0.05797065794467926, 0.01707669161260128, 0.0038974005728960037, 0.014499378390610218, 0.03983214497566223, 0.026775306090712547, 0.07306734472513199, -0.01953902095556259, 0.06927864998579025, -0.007952747866511345, 0.037490688264369965, 0.04656841233372688, -0.032078590244054794, 0.010902714915573597, 0.06317353993654251, 0.00929813552647829, 0.02577734924852848, -0.071475088596344, -0.05588377267122269, 0.07994243502616882, 0.0160495825111866, -0.03747227042913437, 0.0681551843881607, -0.0159644465893507, 0.08367352932691574, 0.039653271436691284, 0.08821453154087067, 0.030473221093416214, 0.04651511088013649, -0.020114557817578316, -0.021062703803181648, -0.06356947124004364, 0.006578104104846716, 0.0681573674082756, -0.06599614024162292, -0.053482215851545334, -0.13994218409061432]",,,"[-3.1724603176116943, 1.1800371408462524]","[-51.12946701049805, -33.29285430908203, -12.8218994140625]","[3.1264681816101074, 8.988958358764648]","[3.4414305686950684, 0.919187605381012, 3.9266574382781982]"
The Three-Body Problem,Liu Cixin,3,9780765377067,2026/01/25,"asian-lit, speculative-fiction","Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction captures the signal and plans to invade Earth. Meanwhile, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or to fight against the invasion.","[-0.04572231322526932, -0.00883741769939661, 0.00729244202375412, -0.01711834967136383, -0.009952055290341377, -0.08112600445747375, 0.0063246022909879684, -0.036985039710998535, 0.00048473893548361957, 0.04342971369624138, 0.07617402821779251, -0.13089391589164734, -0.006078908685594797, 0.0216438639909029, 0.021172232925891876, -0.050460632890462875, 0.02168550156056881, -0.04847919940948486, -0.00850741472095251, 0.03812812641263008, -0.010498051531612873, -0.009426367469131947, 0.07301446795463562, 0.038878098130226135, -0.030207175761461258, -0.034756481647491455, 0.07765128463506699, -0.05754418671131134, -0.02320343814790249, -0.021513549610972404, -0.0027007488533854485, 0.08857718110084534, 0.007366171106696129, -0.029047202318906784, 0.055306900292634964, 0.09991618245840073, -0.041202738881111145, -0.07901278883218765, -0.06528385728597641, 0.011776607483625412, -0.02615063078701496, -0.02290373668074608, 0.1096276119351387, -0.016261661425232887, -0.004869888536632061, -0.0010661327978596091, -0.08972427994012833, 0.001077614608220756, 0.08712419122457504, -0.0925975814461708, 0.03237869590520859, -0.07810535281896591, 0.020375274121761322, 0.11326586455106735, 0.07706647366285324, -0.07408086955547333, 0.037525422871112823, -0.03481239825487137, -0.030835187062621117, -0.07891613990068436, 0.02444455586373806, 0.03509551286697388, 0.03638436272740364, -0.05891209468245506, 0.09178266674280167, 0.032178811728954315, -0.023326067253947258, -0.008756275288760662, 0.004042569547891617, 0.05202896147966385, -0.001692521502263844, 0.0018776901997625828, -0.021632961928844452, -0.04346422478556633, 0.10736604779958725, 0.061415303498506546, 0.025441471487283707, -0.036809682846069336, -0.023738080635666847, -0.10353470593690872, 0.06655696034431458, -0.018313728272914886, -0.04110121726989746, 0.01002607960253954, -0.06959803402423859, -0.01886945217847824, -0.09258478134870529, 0.01332972664386034, 0.04430672526359558, 0.023676643148064613, -0.12501268088817596, -0.061375875025987625, 0.021392418071627617, 0.04758546128869057, -0.0602889247238636, 0.06774430721998215, 0.001364881289191544, 0.050456754863262177, -0.012707742862403393, 0.03193400055170059, 0.03877435252070427, 0.020967639982700348, 0.015700355172157288, 0.027345964685082436, 0.006684086751192808, -0.09938855469226837, -0.007760502398014069, -0.012775092385709286, -0.07565496116876602, -0.05029560625553131, 0.10484693944454193, -0.09160306304693222, -0.06299268454313278, 0.02969207428395748, 0.01420825719833374, 0.0478232316672802, 0.11672459542751312, 0.04028847813606262, -0.034280743449926376, 0.009003967046737671, 0.014288871549069881, -0.048910148441791534, -0.05003591626882553, -0.08499151468276978, -0.032944872975349426, -0.05012708529829979, -0.0386943444609642, -8.976171290149953e-34, -0.033685848116874695, -0.034819673746824265, 0.013836371712386608, 0.0884876549243927, -0.014955271035432816, -0.051267560571432114, -0.04810421168804169, 0.019799189642071724, -0.03346730396151543, 0.0025577829219400883, -0.10098566859960556, -0.04331714287400246, 0.04521070793271065, 0.032918427139520645, 0.025217324495315552, -0.04874619469046593, -0.06105075776576996, -0.0017698761075735092, 0.07105357944965363, -0.025550391525030136, 0.05962942913174629, -0.0160551518201828, -0.05569003149867058, -0.07374740391969681, 0.058188553899526596, 0.03833579644560814, -0.00937369279563427, -0.07690468430519104, -0.023789096623659134, -0.01438200008124113, -0.057780247181653976, 0.1150643602013588, 0.01752311922609806, 0.015052256174385548, 0.06568165123462677, 0.06138812378048897, 0.043522004038095474, -0.012127476744353771, -0.08996526896953583, 0.10791822522878647, 0.00537535734474659, 0.020901255309581757, -0.01629689894616604, -0.06777941435575485, 0.10474339127540588, 0.05081712454557419, 0.020214950665831566, -0.045889876782894135, -0.02847527712583542, 0.038815468549728394, 0.0004285119939595461, 0.04597475752234459, 0.04295238479971886, -0.005449810530990362, 0.06402561813592911, -0.019878681749105453, -0.009895714931190014, -0.04379766061902046, -0.045188162475824356, 0.005096459295600653, 0.0922413319349289, -0.05429558828473091, -0.03054283931851387, 0.08822965621948242, 0.013857722282409668, 0.06754983961582184, -0.04844541847705841, -0.06382856518030167, -0.038414616137742996, 0.043200016021728516, -0.1385524421930313, 0.006082183215767145, -0.02340547926723957, -0.0006827426259405911, 0.009934412315487862, -0.009962032549083233, -0.014397038146853447, -0.041447799652814865, -0.0629039853811264, -0.015322154387831688, -0.01240523625165224, 0.01180154550820589, 0.028498372063040733, 0.033227041363716125, -0.055581867694854736, 0.026392875239253044, -0.004307819064706564, -0.0015534196281805634, -0.010778584517538548, -0.03915484994649887, -0.01214405708014965, -0.014004465192556381, 0.02481774613261223, 0.03997226059436798, -0.05887489765882492, -7.533722172255924e-34, -0.019647769629955292, -0.05723494663834572, -0.06698013842105865, -0.049884144216775894, 0.08214453607797623, -0.004580269567668438, -0.0839570090174675, 0.007738419342786074, 0.0005343815428204834, 0.05027735233306885, -0.025854192674160004, 0.010446514002978802, 0.04601919651031494, -0.014091221615672112, 0.04391857609152794, -0.02170451357960701, 0.0670233890414238, -0.02661450207233429, -0.014866940677165985, 0.07039019465446472, 0.02649587206542492, -0.04483690857887268, -0.06310746818780899, -0.08838764578104019, -0.05625636503100395, 0.099698007106781, 0.03791330009698868, -0.03379160165786743, -0.0921628326177597, 0.054258886724710464, -0.06716955453157425, -0.05609987676143646, -0.004647610243409872, 0.06997919082641602, -0.04304926469922066, 0.0654488205909729, 0.025952301919460297, 0.022596409544348717, 0.010450548492372036, -0.02287963591516018, -0.03129078820347786, 0.06013628467917442, 0.0022919969633221626, 0.10284186154603958, -0.09583352506160736, 0.01096297986805439, 0.007982167415320873, 0.08807346969842911, -0.08478382229804993, 0.09679941087961197, 0.0034488546662032604, -0.04467976838350296, 0.02392888441681862, -0.06412270665168762, -0.04233590140938759, -0.009944677352905273, -0.015256126411259174, -0.035195861011743546, 0.11539510637521744, 0.03273828700184822, -0.012258020229637623, -0.00019280545529909432, 0.01766064018011093, 0.06322973966598511, -0.021158669143915176, 0.009910049848258495, -0.0075994557701051235, 0.10896050930023193, -0.004961743950843811, 0.05087784305214882, 0.0034006566274911165, -0.01550183817744255, -0.10571029037237167, 0.01051714550703764, 0.040731608867645264, 0.016491573303937912, -0.04604780673980713, 0.013150506652891636, 0.023961296305060387, 0.06634654104709625, 0.04961388558149338, -0.08667759597301483, 0.017719309777021408, 0.1129722148180008, 0.06888227164745331, 0.05155498906970024, -0.023089639842510223, 0.11133560538291931, 0.00927826389670372, -0.06059681996703148, -0.06860355287790298, 0.004122320096939802, 0.012412370182573795, 0.022413743659853935, 0.012541658245027065, -4.917664497838814e-08, 0.03154731169342995, -0.041511259973049164, -0.062292054295539856, 0.003248140448704362, -0.06750701367855072, 0.060391493141651154, -0.05188935622572899, 0.026626821607351303, 0.020449407398700714, 0.040348391979932785, -0.025364773347973824, 0.029937323182821274, 0.02172771655023098, 0.04347885772585869, -0.04929685592651367, -0.011384861543774605, 0.010239784605801105, 0.016088290140032768, -0.08012684434652328, -0.07573331147432327, -0.06193247064948082, -0.0007394021959044039, 0.019526982679963112, -0.05298223719000816, 0.04372945800423622, 0.10197866708040237, -0.06589428335428238, 0.016416573897004128, -0.07542548328638077, 0.057155366986989975, -0.03742070123553276, -0.02767653949558735, -0.049397628754377365, 0.07578151673078537, -0.02581922896206379, 0.035448625683784485, 0.02356051094830036, 0.00432537030428648, 0.01824532076716423, -0.01631687767803669, 0.029153376817703247, 0.12735219299793243, -0.02242475003004074, 0.01837756857275963, 0.026663871482014656, -0.022973142564296722, 0.02923482656478882, -0.06380852311849594, 0.03370526432991028, 0.02240612916648388, -0.010190163739025593, -0.03287695348262787, 0.010242467746138573, 0.07444524019956589, 0.055905334651470184, 0.0005368615384213626, -0.007278484757989645, 0.011405028402805328, -0.05377722904086113, 0.08288777619600296, 0.03192918747663498, 0.021201426163315773, -0.04400019720196724, 0.043743789196014404]",,,"[12.173395156860352, -5.747712135314941]","[-2.8480091094970703, 6.603643417358398, -87.06661987304688]","[4.096105575561523, 6.926074981689453]","[2.2844109535217285, 2.8591692447662354, 2.801452159881592]"
